[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\CAT-3406-365K-2008.csplog
[F2] Split file series:       	CAT-.csplog
[F3] File serial number:      	-1
[F4] Id-Description file:     	<none>
[F9] plugin:                  	J1939; Version: 1.0.0; publisher: esd gmbh; library: J1939Plugin.dll
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	04.07.2017
[F8] File time:               	17:20:55
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	03000000
[S8] OS:                      	Unsupported Windows Version 6.2  (6,2,9200,2,[])
[S9] CANreal:                 	4.84
[SA] Features:                	0072 ( 2b Ts Lo )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time	Description	CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	Source	Raw PGN	Raw PGN Description	Dest	PGN	PGN Description	Details	Ext. Details	
          18	    	17:20:55	836.372	         41.102	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Õˇˇˇˇˇˇˇ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
          19	    	17:20:55	837.108	          0.736	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	8F	31	FF	FF	FF	ˇˇˇè1ˇˇˇ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
          20	    	17:20:55	837.868	          0.760	                                        	 217944810	 00CFD92EA	L   	  8	FF	FF	FF	FF	FF	FF	FF	FF	ˇˇˇˇˇˇˇˇ	234     	64914       	Engine Operating Information                                	GLOBAL  	64914       	Engine Operating Information                                	                                                            	Available                                         	
          21	    	17:20:55	838.576	          0.708	                                        	 217945066	 00CFD93EA	L   	  8	D3	FF	FF	FF	FF	FF	FF	FF	”ˇˇˇˇˇˇˇ	234     	64915       	                                                            	GLOBAL  	64915       	                                                            	                                                            	                                                  	
          22	    	17:20:55	839.377	          0.801	                                        	 217973738	 00CFE03EA	L   	  8	9C	01	EE	00	FF	FF	00	00	ú_Ó_ˇˇ__	234     	65027       	Generator Phase A Basic AC Quantities                       	GLOBAL  	65027       	Generator Phase A Basic AC Quantities                       	                                                            	Available                                         	
          23	    	17:20:55	840.085	          0.708	                                        	 218039018	 00CFF02EA	L   	  8	00	C8	00	00	FF	FF	FF	FF	_»__ˇˇˇˇ	234     	65282       	Proprietary B                                               	GLOBAL  	65282       	Proprietary B                                               	                                                            	                                                  	
          24	    	17:20:55	915.583	         75.498	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Õˇˇˇˇˇˇˇ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
          25	    	17:20:55	916.319	          0.736	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	8E	31	FF	FF	FF	ˇˇˇé1ˇˇˇ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
          26	    	17:20:55	935.399	         19.080	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Õˇˇˇˇˇˇˇ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
          27	    	17:20:55	936.135	          0.736	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	8F	31	FF	FF	FF	ˇˇˇè1ˇˇˇ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
