[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\OLY-GEp88--88K-2008.csplog
[F2] Split file series:       	OLY-GEp88--88K-2008.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	12.07.2017
[F8] File time:               	16:00:14
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 7 Service Pack 1 (6,1,7601,2,[Service Pack 1])
[S9] CANreal:                 	4.84
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
          35	    	16:00:14	774.799	          0.849		 217974506	  0CFE06EA	L     	  8	91	01	E7	00	20	1A	00	00	‘_з_____	
          36	    	16:00:14	790.638	         15.839		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
          37	    	16:00:14	791.438	          0.800		 217056490	  0CF004EA	L     	  8	FF	FF	FF	EB	30	FF	FF	FF	яяял0яяя	
          38	    	16:00:14	792.307	          0.869		 217062634	  0CF01CEA	L     	  8	00	32	00	00	FF	FF	FF	FF	_2__яяяя	
          39	    	16:00:14	793.183	          0.876		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	Уяяяяяяя	
          40	    	16:00:14	794.059	          0.876		 217972202	  0CFDFDEA	L     	  8	97	01	EB	00	FF	FF	00	00	—_л_яя__	
          41	    	16:00:14	794.935	          0.876		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	CF	FF	FF	яяяяяПяя	
          42	    	16:00:14	795.815	          0.880		 218039018	  0CFF02EA	L     	  8	00	32	00	00	FF	FF	FF	FF	_2__яяяя	
          43	    	16:00:14	844.885	         49.070		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
          44	    	16:00:14	845.734	          0.849		 217056490	  0CF004EA	L     	  8	FF	FF	FF	EB	30	FF	FF	FF	яяял0яяя	
          45	    	16:00:14	846.650	          0.916		 217972970	  0CFE00EA	L     	  8	89	01	E0	00	FF	FF	00	00	‰_а_яя__	
          46	    	16:00:14	891.180	         44.530		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
          47	    	16:00:14	892.037	          0.857		 217056490	  0CF004EA	L     	  8	FF	FF	FF	E9	30	FF	FF	FF	яяяй0яяя	
          48	    	16:00:14	892.957	          0.920		 217062634	  0CF01CEA	L     	  8	00	32	00	00	FF	FF	FF	FF	_2__яяяя	
          49	    	16:00:14	893.886	          0.929		 217944810	  0CFD92EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	яяяяяяяя	
          50	    	16:00:14	894.816	          0.930		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	Уяяяяяяя	
          51	    	16:00:14	895.837	          1.021		 217973738	  0CFE03EA	L     	  8	92	01	EB	00	FF	FF	00	00	’_л_яя__	
          52	    	16:00:14	896.770	          0.933		 218039018	  0CFF02EA	L     	  8	00	32	00	00	FF	FF	FF	FF	_2__яяяя	
          53	    	16:00:14	972.855	         76.085		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
          54	    	16:00:14	973.659	          0.804		 217056490	  0CF004EA	L     	  8	FF	FF	FF	E8	30	FF	FF	FF	яяяи0яяя	
          55	    	16:00:14	974.515	          0.856		 217974506	  0CFE06EA	L     	  8	90	01	E7	00	1A	1A	00	00	ђ_з_____	
          56	    	16:00:14	989.835	         15.320		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
          57	    	16:00:14	990.639	          0.804		 217056490	  0CF004EA	L     	  8	FF	FF	FF	E8	30	FF	FF	FF	яяяи0яяя	
          58	    	16:00:14	991.507	          0.868		 217062634	  0CF01CEA	L     	  8	00	32	00	00	FF	FF	FF	FF	_2__яяяя	
          59	    	16:00:14	992.383	          0.876		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	Уяяяяяяя	
          60	    	16:00:14	993.251	          0.868		 217972202	  0CFDFDEA	L     	  8	97	01	EB	00	FF	FF	00	00	—_л_яя__	
          61	    	16:00:14	994.128	          0.877		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	CF	FF	FF	яяяяяПяя	
          62	    	16:00:14	995.008	          0.880		 218039018	  0CFF02EA	L     	  8	00	32	00	00	FF	FF	FF	FF	_2__яяяя	
          63	    	16:00:15	047.782	         52.774		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
          64	    	16:00:15	048.638	          0.856		 217056490	  0CF004EA	L     	  8	FF	FF	FF	E6	30	FF	FF	FF	яяяж0яяя	
          65	    	16:00:15	049.555	          0.917		 217972970	  0CFE00EA	L     	  8	89	01	E0	00	FF	FF	00	00	‰_а_яя__	
          66	    	16:00:15	050.478	          0.923		 419360746	  18FEEFEA	L     	  8	FF	FF	FF	60	FF	FF	FF	FF	яяя`яяяя	
          67	    	16:00:15	090.585	         40.107		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
          68	    	16:00:15	091.441	          0.856		 217056490	  0CF004EA	L     	  8	FF	FF	FF	E7	30	FF	FF	FF	яяяз0яяя	
          69	    	16:00:15	092.361	          0.920		 217062634	  0CF01CEA	L     	  8	00	32	00	00	FF	FF	FF	FF	_2__яяяя	
          70	    	16:00:15	093.289	          0.928		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	Уяяяяяяя	
          71	    	16:00:15	094.206	          0.917		 217973738	  0CFE03EA	L     	  8	91	01	EB	00	FF	FF	00	00	‘_л_яя__	
          72	    	16:00:15	095.134	          0.928		 218039018	  0CFF02EA	L     	  8	00	32	00	00	FF	FF	FF	FF	_2__яяяя	
          73	    	16:00:15	172.171	         77.037		 201326826	  0C0000EA	L     	  8	CD	FF	FF	FF	FF	FF	FF	FF	Няяяяяяя	
          74	    	16:00:15	172.971	          0.800		 217056490	  0CF004EA	L     	  8	FF	FF	FF	EB	30	FF	FF	FF	яяял0яяя	
          75	    	16:00:15	173.847	          0.876		 217944810	  0CFD92EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	яяяяяяяя	
