[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\OLY-GEP-165K-2011.csplog
[F2] Split file series:       	OLY-GEP-165K-2011.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	09.07.2017
[F8] File time:               	17:14:28
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 8  (6,2,9200,2,[])
[S9] CANreal:                 	4.84
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
          32	    	17:14:28	313.852	         28.781		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          33	    	17:14:28	314.440	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          34	    	17:14:28	329.686	         15.246		 218039018	  0CFF02EA	L     	  8	00	C8	00	00	FF	FF	FF	FF	_ศ__ÿÿÿÿ	
          35	    	17:14:28	343.889	         14.203		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          36	    	17:14:28	344.477	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          37	    	17:14:28	345.065	          0.588		 217945066	  0CFD93EA	L     	  8	D0	FF	FF	FF	FF	FF	FF	FF	ะÿÿÿÿÿÿÿ	
          38	    	17:14:28	345.662	          0.597		 217974506	  0CFE06EA	L     	  8	00	00	00	00	00	00	00	00	________	
          39	    	17:14:28	359.048	         13.386		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	DF	FF	FF	ÿÿÿÿÿ฿ÿÿ	
          40	    	17:14:28	373.875	         14.827		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          41	    	17:14:28	374.463	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          42	    	17:14:28	388.974	         14.511		 217973738	  0CFE03EA	L     	  8	00	00	00	00	FF	FF	00	00	____ÿÿ__	
          43	    	17:14:28	403.896	         14.922		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          44	    	17:14:28	404.484	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          45	    	17:14:28	433.829	         29.345		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          46	    	17:14:28	434.418	          0.589		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          47	    	17:14:28	435.010	          0.592		 218039018	  0CFF02EA	L     	  8	00	C8	00	00	FF	FF	FF	FF	_ศ__ÿÿÿÿ	
          48	    	17:14:28	448.968	         13.958		 217945066	  0CFD93EA	L     	  8	D0	FF	FF	FF	FF	FF	FF	FF	ะÿÿÿÿÿÿÿ	
          49	    	17:14:28	463.879	         14.911		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          50	    	17:14:28	464.467	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          51	    	17:14:28	493.804	         29.337		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          52	    	17:14:28	494.392	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          53	    	17:14:28	523.969	         29.577		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          54	    	17:14:28	524.558	          0.589		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          55	    	17:14:28	538.880	         14.322		 217944810	  0CFD92EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	ÿÿÿÿÿÿÿÿ	
          56	    	17:14:28	539.536	          0.656		 419360746	  18FEEFEA	L     	  8	FF	FF	00	00	FF	FF	FF	00	ÿÿ__ÿÿÿ_	
          57	    	17:14:28	540.121	          0.585		 218039018	  0CFF02EA	L     	  8	00	C8	00	00	FF	FF	FF	FF	_ศ__ÿÿÿÿ	
          58	    	17:14:28	553.967	         13.846		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          59	    	17:14:28	554.555	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          60	    	17:14:28	555.152	          0.597		 217945066	  0CFD93EA	L     	  8	D0	FF	FF	FF	FF	FF	FF	FF	ะÿÿÿÿÿÿÿ	
          61	    	17:14:28	555.756	          0.604		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	DF	FF	FF	ÿÿÿÿÿ฿ÿÿ	
          62	    	17:14:28	583.865	         28.109		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          63	    	17:14:28	584.453	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          64	    	17:14:28	613.790	         29.337		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          65	    	17:14:28	614.378	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          66	    	17:14:28	643.811	         29.433		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          67	    	17:14:28	644.399	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          68	    	17:14:28	644.991	          0.592		 218039018	  0CFF02EA	L     	  8	00	C8	00	00	FF	FF	FF	FF	_ศ__ÿÿÿÿ	
          69	    	17:14:28	658.930	         13.939		 217945066	  0CFD93EA	L     	  8	D0	FF	FF	FF	FF	FF	FF	FF	ะÿÿÿÿÿÿÿ	
          70	    	17:14:28	673.841	         14.911		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          71	    	17:14:28	674.429	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          72	    	17:14:28	688.916	         14.487		 217972202	  0CFDFDEA	L     	  8	00	00	00	00	FF	FF	00	00	____ÿÿ__	
          73	    	17:14:28	689.484	          0.568		 419351274	  18FECAEA	L     	  8	C7	FF	A7	0F	1F	01	FF	FF	วÿง___ÿÿ	
          74	    	17:14:28	703.926	         14.442		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          75	    	17:14:28	704.515	          0.589		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          76	    	17:14:28	733.776	         29.261		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          77	    	17:14:28	734.364	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          78	    	17:14:28	734.960	          0.596		 217972970	  0CFE00EA	L     	  8	00	00	00	00	FF	FF	00	00	____ÿÿ__	
          79	    	17:14:28	748.967	         14.007		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	DF	FF	FF	ÿÿÿÿÿ฿ÿÿ	
          80	    	17:14:28	749.559	          0.592		 218039018	  0CFF02EA	L     	  8	00	C8	00	00	FF	FF	FF	FF	_ศ__ÿÿÿÿ	
          81	    	17:14:28	763.897	         14.338		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          82	    	17:14:28	764.486	          0.589		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          83	    	17:14:28	765.074	          0.588		 217945066	  0CFD93EA	L     	  8	D0	FF	FF	FF	FF	FF	FF	FF	ะÿÿÿÿÿÿÿ	
          84	    	17:14:28	793.767	         28.693		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          85	    	17:14:28	794.355	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          86	    	17:14:28	794.947	          0.592		 217944810	  0CFD92EA	L     	  8	FF	FF	FF	FF	FF	FF	FF	FF	ÿÿÿÿÿÿÿÿ	
          87	    	17:14:28	823.808	         28.861		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          88	    	17:14:28	824.396	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          89	    	17:14:28	824.797	          0.401		 417988842	  18EA00EA	L     	  3	CB	FE	00	  	  	  	  	  	หþ_     	
          90	    	17:14:28	838.987	         14.190		 217974506	  0CFE06EA	L     	  8	00	00	00	00	00	00	00	00	________	
          91	    	17:14:28	839.575	          0.588		 419357930	  18FEE4EA	L     	  8	FF	FF	FF	FF	FF	FF	FC	FF	ÿÿÿÿÿÿüÿ	
          92	    	17:14:28	853.850	         14.275		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          93	    	17:14:28	854.438	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          94	    	17:14:28	855.035	          0.597		 218039018	  0CFF02EA	L     	  8	00	C8	00	00	FF	FF	FF	FF	_ศ__ÿÿÿÿ	
          95	    	17:14:28	868.910	         13.875		 217945066	  0CFD93EA	L     	  8	D0	FF	FF	FF	FF	FF	FF	FF	ะÿÿÿÿÿÿÿ	
          96	    	17:14:28	883.868	         14.958		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          97	    	17:14:28	884.456	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
          98	    	17:14:28	885.060	          0.604		 217973738	  0CFE03EA	L     	  8	00	00	00	00	FF	FF	00	00	____ÿÿ__	
          99	    	17:14:28	913.969	         28.909		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
