[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\CAT-3406-320K-2013.csplog
[F2] Split file series:       	CAT-3406-275K-2013.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	04.07.2017
[F8] File time:               	16:40:26
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 8  (6,2,9200,2,[])
[S9] CANreal:                 	4.84
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
           1	    	16:40:26	893.823	         31.823		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
           2	    	16:40:26	894.399	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A3	2F	FF	FF	FF	ÿÿÿฃ/ÿÿÿ	
           3	    	16:40:26	894.975	          0.576		 217972970	  0CFE00EA	L     	  8	93	01	E9	00	FF	FF	00	00	“_้_ÿÿ__	
           4	    	16:40:26	895.551	          0.576		 419362794	  18FEF7EA	L     	  8	FF	FF	FF	FF	0B	02	0B	02	ÿÿÿÿ____	
           5	    	16:40:26	923.508	         27.957		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
           6	    	16:40:26	924.085	          0.577		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A3	2F	FF	FF	FF	ÿÿÿฃ/ÿÿÿ	
           7	    	16:40:26	938.983	         14.898		 218039018	  0CFF02EA	L     	  8	80	CF	00	00	FF	FF	FF	FF	€ฯ__ÿÿÿÿ	
           8	    	16:40:26	953.166	         14.183		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
           9	    	16:40:26	953.742	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A3	2F	FF	FF	FF	ÿÿÿฃ/ÿÿÿ	
          10	    	16:40:26	954.334	          0.592		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	ำÿÿÿÿÿÿÿ	
          11	    	16:40:26	954.926	          0.592		 217949930	  0CFDA6EA	L     	  8	FF	FF	FF	FF	E8	03	FF	FF	ÿÿÿÿ่_ÿÿ	
          12	    	16:40:26	983.112	         28.186		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          13	    	16:40:26	983.692	          0.580		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A2	2F	FF	FF	FF	ÿÿÿข/ÿÿÿ	
          14	    	16:40:26	984.280	          0.588		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	CF	FF	FF	ÿÿÿÿÿฯÿÿ	
          15	    	16:40:26	984.676	          0.396		 417988842	  18EA00EA	L     	  3	CB	FE	00	  	  	  	  	  	หþ_     	
          16	    	16:40:26	998.363	         13.687		 217974506	  0CFE06EA	L     	  8	93	01	E9	00	6A	19	00	00	“_้_j___	
          17	    	16:40:27	013.130	         14.767		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          18	    	16:40:27	013.710	          0.580		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A2	2F	FF	FF	FF	ÿÿÿข/ÿÿÿ	
          19	    	16:40:27	014.290	          0.580		 217944810	  0CFD92EA	L     	  8	F4	FF	FF	FF	FF	FF	FF	FF	๔ÿÿÿÿÿÿÿ	
          20	    	16:40:27	043.107	         28.817		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          21	    	16:40:27	043.683	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A3	2F	FF	FF	FF	ÿÿÿฃ/ÿÿÿ	
          22	    	16:40:27	044.259	          0.576		 217973738	  0CFE03EA	L     	  8	93	01	E9	00	FF	FF	00	00	“_้_ÿÿ__	
          23	    	16:40:27	044.848	          0.589		 218039018	  0CFF02EA	L     	  8	80	CF	00	00	FF	FF	FF	FF	€ฯ__ÿÿÿÿ	
          24	    	16:40:27	058.290	         13.442		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	ำÿÿÿÿÿÿÿ	
          25	    	16:40:27	058.883	          0.593		 217949930	  0CFDA6EA	L     	  8	FF	FF	FF	FF	E8	03	FF	FF	ÿÿÿÿ่_ÿÿ	
          26	    	16:40:27	073.173	         14.290		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          27	    	16:40:27	073.749	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A1	2F	FF	FF	FF	ÿÿÿก/ÿÿÿ	
          28	    	16:40:27	103.102	         29.353		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          29	    	16:40:27	103.683	          0.581		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A2	2F	FF	FF	FF	ÿÿÿข/ÿÿÿ	
          30	    	16:40:27	133.888	         30.205		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          31	    	16:40:27	134.470	          0.582		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A2	2F	FF	FF	FF	ÿÿÿข/ÿÿÿ	
          32	    	16:40:27	148.610	         14.140		 218039018	  0CFF02EA	L     	  8	80	CF	00	00	FF	FF	FF	FF	€ฯ__ÿÿÿÿ	
          33	    	16:40:27	163.957	         15.347		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          34	    	16:40:27	164.533	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A4	2F	FF	FF	FF	ÿÿÿค/ÿÿÿ	
          35	    	16:40:27	165.125	          0.592		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	ำÿÿÿÿÿÿÿ	
          36	    	16:40:27	165.726	          0.601		 217949930	  0CFDA6EA	L     	  8	FF	FF	FF	FF	E8	03	FF	FF	ÿÿÿÿ่_ÿÿ	
          37	    	16:40:27	178.616	         12.890		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	CF	FF	FF	ÿÿÿÿÿฯÿÿ	
          38	    	16:40:27	194.335	         15.719		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          39	    	16:40:27	194.911	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A5	2F	FF	FF	FF	ÿÿÿฅ/ÿÿÿ	
          40	    	16:40:27	195.495	          0.584		 419360746	  18FEEFEA	L     	  8	FF	FF	FF	79	FF	FF	FF	FF	ÿÿÿyÿÿÿÿ	
          41	    	16:40:27	195.892	          0.397		 417989098	  18EA01EA	L     	  3	CB	FE	00	  	  	  	  	  	หþ_     	
          42	    	16:40:27	224.025	         28.133		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          43	    	16:40:27	224.601	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A5	2F	FF	FF	FF	ÿÿÿฅ/ÿÿÿ	
          44	    	16:40:27	253.469	         28.868		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          45	    	16:40:27	254.042	          0.573		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A6	2F	FF	FF	FF	ÿÿÿฆ/ÿÿÿ	
          46	    	16:40:27	254.630	          0.588		 218039018	  0CFF02EA	L     	  8	80	CF	00	00	FF	FF	FF	FF	€ฯ__ÿÿÿÿ	
          47	    	16:40:27	268.197	         13.567		 217944810	  0CFD92EA	L     	  8	F4	FF	FF	FF	FF	FF	FF	FF	๔ÿÿÿÿÿÿÿ	
          48	    	16:40:27	268.793	          0.596		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	ำÿÿÿÿÿÿÿ	
          49	    	16:40:27	269.386	          0.593		 217949930	  0CFDA6EA	L     	  8	FF	FF	FF	FF	E8	03	FF	FF	ÿÿÿÿ่_ÿÿ	
          50	    	16:40:27	283.220	         13.834		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          51	    	16:40:27	283.796	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A5	2F	FF	FF	FF	ÿÿÿฅ/ÿÿÿ	
          52	    	16:40:27	284.185	          0.389		 418004458	  18EA3DEA	L     	  3	CB	FE	00	  	  	  	  	  	หþ_     	
          53	    	16:40:27	313.050	         28.865		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          54	    	16:40:27	313.626	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A5	2F	FF	FF	FF	ÿÿÿฅ/ÿÿÿ	
          55	    	16:40:27	343.119	         29.493		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          56	    	16:40:27	343.695	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A4	2F	FF	FF	FF	ÿÿÿค/ÿÿÿ	
          57	    	16:40:27	344.267	          0.572		 217972202	  0CFDFDEA	L     	  8	93	01	E9	00	FF	FF	00	00	“_้_ÿÿ__	
          58	    	16:40:27	358.318	         14.051		 218039018	  0CFF02EA	L     	  8	80	CF	00	00	FF	FF	FF	FF	€ฯ__ÿÿÿÿ	
          59	    	16:40:27	373.094	         14.776		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          60	    	16:40:27	373.669	          0.575		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A4	2F	FF	FF	FF	ÿÿÿค/ÿÿÿ	
          61	    	16:40:27	374.257	          0.588		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	ำÿÿÿÿÿÿÿ	
          62	    	16:40:27	374.849	          0.592		 217949930	  0CFDA6EA	L     	  8	FF	FF	FF	FF	E8	03	FF	FF	ÿÿÿÿ่_ÿÿ	
          63	    	16:40:27	375.437	          0.588		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	CF	FF	FF	ÿÿÿÿÿฯÿÿ	
          64	    	16:40:27	388.360	         12.923		 217972970	  0CFE00EA	L     	  8	93	01	E9	00	FF	FF	00	00	“_้_ÿÿ__	
          65	    	16:40:27	403.135	         14.775		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          66	    	16:40:27	403.719	          0.584		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A4	2F	FF	FF	FF	ÿÿÿค/ÿÿÿ	
          67	    	16:40:27	433.348	         29.629		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          68	    	16:40:27	433.924	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A5	2F	FF	FF	FF	ÿÿÿฅ/ÿÿÿ	
          69	    	16:40:27	463.397	         29.473		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          70	    	16:40:27	463.973	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A6	2F	FF	FF	FF	ÿÿÿฆ/ÿÿÿ	
          71	    	16:40:27	464.562	          0.589		 218039018	  0CFF02EA	L     	  8	80	CF	00	00	FF	FF	FF	FF	€ฯ__ÿÿÿÿ	
          72	    	16:40:27	478.992	         14.430		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	ำÿÿÿÿÿÿÿ	
          73	    	16:40:27	479.584	          0.592		 217949930	  0CFDA6EA	L     	  8	FF	FF	FF	FF	E8	03	FF	FF	ÿÿÿÿ่_ÿÿ	
          74	    	16:40:27	493.435	         13.851		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          75	    	16:40:27	494.011	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A6	2F	FF	FF	FF	ÿÿÿฆ/ÿÿÿ	
          76	    	16:40:27	494.576	          0.565		 217974506	  0CFE06EA	L     	  8	93	01	E9	00	6B	19	00	00	“_้_k___	
          77	    	16:40:27	495.140	          0.564		 419351274	  18FECAEA	L     	  8	C7	FF	A7	0F	1F	3A	FF	FF	วÿง__:ÿÿ	
          78	    	16:40:27	523.457	         28.317		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          79	    	16:40:27	524.033	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A6	2F	FF	FF	FF	ÿÿÿฆ/ÿÿÿ	
          80	    	16:40:27	524.613	          0.580		 217944810	  0CFD92EA	L     	  8	F4	FF	FF	FF	FF	FF	FF	FF	๔ÿÿÿÿÿÿÿ	
          81	    	16:40:27	538.900	         14.287		 217973738	  0CFE03EA	L     	  8	93	01	E9	00	FF	FF	00	00	“_้_ÿÿ__	
          82	    	16:40:27	553.093	         14.193		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          83	    	16:40:27	553.667	          0.574		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A7	2F	FF	FF	FF	ÿÿÿง/ÿÿÿ	
          84	    	16:40:27	554.255	          0.588		 486385642	  1CFDA7EA	L     	  8	FF	F3	FF	FF	FF	FF	FF	FF	ÿ๓ÿÿÿÿÿÿ	
          85	    	16:40:27	568.398	         14.143		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	CF	FF	FF	ÿÿÿÿÿฯÿÿ	
          86	    	16:40:27	568.986	          0.588		 218039018	  0CFF02EA	L     	  8	80	CF	00	00	FF	FF	FF	FF	€ฯ__ÿÿÿÿ	
          87	    	16:40:27	583.161	         14.175		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          88	    	16:40:27	583.737	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A6	2F	FF	FF	FF	ÿÿÿฆ/ÿÿÿ	
          89	    	16:40:27	584.329	          0.592		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	ำÿÿÿÿÿÿÿ	
          90	    	16:40:27	584.921	          0.592		 217949930	  0CFDA6EA	L     	  8	FF	FF	FF	FF	E8	03	FF	FF	ÿÿÿÿ่_ÿÿ	
          91	    	16:40:27	613.094	         28.173		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          92	    	16:40:27	613.671	          0.577		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A5	2F	FF	FF	FF	ÿÿÿฅ/ÿÿÿ	
          93	    	16:40:27	643.060	         29.389		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          94	    	16:40:27	643.636	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A5	2F	FF	FF	FF	ÿÿÿฅ/ÿÿÿ	
          95	    	16:40:27	644.220	          0.584		 419357930	  18FEE4EA	L     	  8	FF	FF	FF	FF	FF	FF	FC	FF	ÿÿÿÿÿÿüÿ	
          96	    	16:40:27	673.013	         28.793		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
          97	    	16:40:27	673.593	          0.580		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A4	2F	FF	FF	FF	ÿÿÿค/ÿÿÿ	
          98	    	16:40:27	674.177	          0.584		 218039018	  0CFF02EA	L     	  8	80	CF	00	00	FF	FF	FF	FF	€ฯ__ÿÿÿÿ	
          99	    	16:40:27	688.184	         14.007		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	ำÿÿÿÿÿÿÿ	
         100	    	16:40:27	688.776	          0.592		 217949930	  0CFDA6EA	L     	  8	FF	FF	FF	FF	E8	03	FF	FF	ÿÿÿÿ่_ÿÿ	
         101	    	16:40:27	689.356	          0.580		 419360746	  18FEEFEA	L     	  8	FF	FF	FF	79	FF	FF	FF	FF	ÿÿÿyÿÿÿÿ	
         102	    	16:40:27	703.195	         13.839		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
         103	    	16:40:27	703.771	          0.576		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A4	2F	FF	FF	FF	ÿÿÿค/ÿÿÿ	
         104	    	16:40:27	734.312	         30.541		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
         105	    	16:40:27	734.889	          0.577		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A4	2F	FF	FF	FF	ÿÿÿค/ÿÿÿ	
         106	    	16:40:27	763.826	         28.937		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
         107	    	16:40:27	764.410	          0.584		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A4	2F	FF	FF	FF	ÿÿÿค/ÿÿÿ	
         108	    	16:40:27	764.998	          0.588		 486459370	  1CFEC7EA	L     	  8	FF	FF	FF	FF	FF	CF	FF	FF	ÿÿÿÿÿฯÿÿ	
         109	    	16:40:27	778.469	         13.471		 217944810	  0CFD92EA	L     	  8	F4	FF	FF	FF	FF	FF	FF	FF	๔ÿÿÿÿÿÿÿ	
         110	    	16:40:27	779.057	          0.588		 218039018	  0CFF02EA	L     	  8	80	CF	00	00	FF	FF	FF	FF	€ฯ__ÿÿÿÿ	
         111	    	16:40:27	793.888	         14.831		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
         112	    	16:40:27	794.467	          0.579		 217056490	  0CF004EA	L     	  8	FF	FF	FF	A3	2F	FF	FF	FF	ÿÿÿฃ/ÿÿÿ	
         113	    	16:40:27	795.056	          0.589		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	ำÿÿÿÿÿÿÿ	
         114	    	16:40:27	795.652	          0.596		 217949930	  0CFDA6EA	L     	  8	FF	FF	FF	FF	E8	03	FF	FF	ÿÿÿÿ่_ÿÿ	
         115	    	16:40:27	823.893	         28.241		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
