[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\CAT-C18-660K-2015.csplog
[F2] Split file series:       	CAT-C18-660K-2015.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	09.07.2017
[F8] File time:               	16:39:15
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 8  (6,2,9200,2,[])
[S9] CANreal:                 	4.84
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
           1	    	16:39:26	038.066	      10999.066	                           <NTCAN Event>	         0	       000	E     	  6	00	40	00	00	00	00	  	  	CONTROLLER(WARN!)	
           2	    	16:39:26	038.096	          0.030		 418316266	  18EEFFEA	L     	  8	45	7E	0E	01	00	81	00	D0	E~____ะ	
           3	    	16:39:26	280.903	        242.807		 417333226	  18DFFFEA	L     	  8	FF	FF	FF	FE	FF	FF	FF	FF	ÿÿÿþÿÿÿÿ	
           4	    	16:39:26	281.301	          0.398		 418054142	  18EAFFFE	L     	  3	00	EE	00	  	  	  	  	  	_๎_     	
           5	    	16:39:26	296.278	         14.977		 418316266	  18EEFFEA	L     	  8	45	7E	0E	01	00	81	00	D0	E~____ะ	
           6	    	16:39:26	296.860	          0.582		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
           7	    	16:39:26	297.448	          0.588		 217056490	  0CF004EA	L     	  8	FF	FF	FF	00	00	FF	FF	FF	ÿÿÿ__ÿÿÿ	
           8	    	16:39:26	298.028	          0.580		 419358186	  18FEE5EA	L     	  8	5E	BC	00	00	FF	FF	FF	FF	^ผ__ÿÿÿÿ	
           9	    	16:39:26	326.095	         28.067		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
