[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\CAT-C18-635K-2011.csplog
[F2] Split file series:       	CAT-C18-635K-2011.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	05.07.2017
[F8] File time:               	12:01:19
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 8  (6,2,9200,2,[])
[S9] CANreal:                 	4.84
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
           1	    	12:01:19	553.376	          8.376		 201326826	  0C0000EA	L     	  8	CD	E0	2E	FF	FF	FF	FF	FF	อเ.ÿÿÿÿÿ	
           2	    	12:01:19	554.120	          0.744		 217945066	  0CFD93EA	L     	  8	D3	FF	FF	FF	FF	FF	FF	FF	ำÿÿÿÿÿÿÿ	
           3	    	12:01:19	554.835	          0.715		 218039018	  0CFF02EA	L     	  8	80	CF	00	00	FF	FF	FF	FF	€ฯ__ÿÿÿÿ	
           4	    	12:01:19	555.913	          1.078		 217056256	  0CF00400	L     	  8	FF	FF	7D	D6	2E	FF	4F	FF	ÿÿ}ึ.ÿOÿ	
           5	    	12:01:19	556.621	          0.708		 217056000	  0CF00300	L     	  8	FF	FA	09	FF	FF	FF	FF	FF	ÿ๚_ÿÿÿÿÿ	
           6	    	12:01:19	571.817	         15.196		  50462720	  03020000	L     	  8	FF	80	2C	00	00	00	00	00	ÿ€,_____	
           7	    	12:01:19	572.441	          0.624		 217056256	  0CF00400	L     	  8	FF	FF	7D	DE	2E	FF	4F	FF	ÿÿ}Þ.ÿOÿ	
           8	    	12:01:19	573.138	          0.697		 419362304	  18FEF600	L     	  8	FF	04	53	35	FF	FF	FF	FF	ÿ_S5ÿÿÿÿ	
           9	    	12:01:19	585.930	         12.792		 217056256	  0CF00400	L     	  8	FF	FF	7D	D8	2E	FF	4F	FF	ÿÿ}ุ.ÿOÿ	
