0,8,1,1.1,695,Status
0,8,1,1.3,696,Status
0,8,1,1.5,897,Status
0,8,2,2-3,898,Status
0,8,4,4,518,Status
0,8,5,5.1,3349,Status
0,8,5,5.4,3350,Status
0,8,6,6.1,4191,Measured
0,8,8,8.1,4206,Status
0,8,8,8.5,4207,Status
256,8,1,1.1,681,Status
256,8,1,1.3,682,Status
256,8,1,1.5,683,Status
256,8,1,1.7,4242,Status
256,8,2,2,684,Status
256,8,3,3,525,Status
256,8,4,4.1,685,Status
256,8,4,4.3,686,Status
256,8,4,4.5,687,Status
256,8,4,4.7,688,Status
256,8,5,5.1,689,Status
256,8,5,5.3,690,Status
256,8,5,5.5,691,Status
256,8,5,5.7,5762,Status
256,8,6,6.1,1852,Status
256,8,6,6.3,1853,Status
256,8,6,6.5,1854,Status
256,8,6,6.7,1855,Status
256,8,7,7.1,7695,Status
256,8,7,7.3,4255,Measured
256,8,7,7.7,2985,Measured
256,8,8,8.1,4246,Status
256,8,8,8.3,4247,Status
256,8,8,8.5,4248,Status
256,8,8,8.7,4249,Status
1024,8,1,1-2,2920,Status
1024,8,3,3.1,2914,Status
1024,8,3,3.3,2915,Status
1024,8,3,3.5,2916,Status
1024,8,4,4,4099,Status
1024,8,8,8.1,3189,Status
1024,8,8,8.5,3188,Status
1792,8,1,1-2,4086,Measured
1792,8,3,3,4087,Measured
1792,8,4,4-5,4088,Measured
1792,8,6,6-7,4089,Measured
2048,8,1,1-2,4155,
2048,8,3,3-4,4156,
2048,8,5,5-6,4157,
2048,8,7,7-8,4158,
2304,8,1,1,5582,Measured
2304,8,2,2.1,5583,Status
2560,8,1,1.1,5603,Status
2560,8,1,1.3,5604,Status
2560,8,1,1.5,5605,Status
2560,8,2,2-3,8438,Status
2560,8,4,4.1,8439,Status
2560,8,4,4.3,8440,Status
2816,8,1,1.1,5681,Status
2816,8,8,8.1,5682,Status
2816,8,8,8.5,5683,Status
3072,8,1,1,28,Measured
3072,8,2,2.1,7847,Status
3072,8,2,2.3,7844,Measured
3328,8,1,1.1,6569,Status
3328,8,1,1.3,6570,Status
6912,8,1,1.1,8123,Status
6912,8,1,1.3,8124,Status
6912,8,1,1.5,8125,Status
6912,8,1,1.7,8126,Status
6912,8,2,2.1,8127,Status
6912,8,2,2.3,8213,Status
6912,8,2,2.5,8412,Measured
6912,8,2,2.7,8433,Status
6912,8,3,3.1,8434,Status
7168,8,1,1.1,7037,Status
7168,8,1,1.3,7038,Status
7168,8,1,1.5,7041,Status
7168,8,2,2-3,7039,Measured
7168,8,4,4,7040,Status
7168,8,8,8,7042,Status
7424,8,1,1-2,7355,Status
7680,8,1,1-2,7589,Status
7680,8,3,3,7590,Status
7680,8,4,4,7591,Status
7680,8,5,5,7592,Status
27904,19,0,01-02,8860,Status
27904,19,0,03-04,8861,Status
27904,19,0,05,8862,Status
27904,19,0,06,8863,Status
27904,19,0,07-08,8864,Status
27904,19,0,09-10,8865,Status
